Nome,Squadra,Posizione,Luogo,Data
Corridore,Squadra,Pos.,BELRICETTO  DI  LUGO  (RA),2026-03-01
PADOVAN NICOLA,ACCADEMIA CICLISTICA,1°,BELRICETTO  DI  LUGO  (RA),2026-03-01
BENOZZATO RICCARDO,ACCADEMIA CICLISTICA,2°,BELRICETTO  DI  LUGO  (RA),2026-03-01
MELONI ANDREA,TEAM VANGI TOMMASINI IL PIRATA,3°,BELRICETTO  DI  LUGO  (RA),2026-03-01
TOMASSINI NICOLO',TEAM VANGI TOMMASINI IL PIRATA,4°,BELRICETTO  DI  LUGO  (RA),2026-03-01
BANDINI FILIPPO,TEAM GENERAL SYSTEM,5°,BELRICETTO  DI  LUGO  (RA),2026-03-01
FIUMARA NICOLO',ITALIA NUOVA BOLOGNA,6°,BELRICETTO  DI  LUGO  (RA),2026-03-01
CAMPIDELLI GIACOMO,SIDERMEC,7°,BELRICETTO  DI  LUGO  (RA),2026-03-01
MELINI MICHELE,TEAM GENERAL SYSTEM,8°,BELRICETTO  DI  LUGO  (RA),2026-03-01
VERONI RICCARDO,CYCLING TEAM NIAL NIZZOLI ALMO,9°,BELRICETTO  DI  LUGO  (RA),2026-03-01
BOLZONI SIMONE,CYCLING TEAM NIAL NIZZOLI ALMO,10°,BELRICETTO  DI  LUGO  (RA),2026-03-01
Corridore,Squadra,Pos.,VOLTA MANTOVANA (MN),2026-03-01
COLOSIO FRANCESCO,TEAM GUERRINI SENAGHESE,1°,VOLTA MANTOVANA (MN),2026-03-01
FRANCESCHINI GIULIO,CICLISTICA TREVIGLIESE,2°,VOLTA MANTOVANA (MN),2026-03-01
DALLA BONA THOMAS,FDB SPORT CLUB,3°,VOLTA MANTOVANA (MN),2026-03-01
PARIANOTTI EMANUELE,G.S.GIOVANI GIUSSANESI A.S.D.,4°,VOLTA MANTOVANA (MN),2026-03-01
ORENGO EDOARDO,S.C. ROMANESE ASD,5°,VOLTA MANTOVANA (MN),2026-03-01
MAZZOLENI CRISTIAN,TEAM GUERRINI SENAGHESE,6°,VOLTA MANTOVANA (MN),2026-03-01
PRIMAVESI GIACOMO,BUSTESE OLONIA A.S.D.,7°,VOLTA MANTOVANA (MN),2026-03-01
BOSIO GIOVANNI,CICLISTICA TREVIGLIESE,8°,VOLTA MANTOVANA (MN),2026-03-01
GAMBA CHRISTIAN,CICLISTICA TREVIGLIESE,9°,VOLTA MANTOVANA (MN),2026-03-01
ZOCO MARCO,BUSTESE OLONIA A.S.D.,10°,VOLTA MANTOVANA (MN),2026-03-01
Corridore,Squadra,Pos.,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
FEDRIZZI BRANDON DAVIDE,BORGO MOLINO-VIGNA FIORITA,1°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
ALESSIANI ANDREA GABRIELE,POOL CANTU' GB TEAM A.S.D.,2°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
TARALLO ANDREA,TEAM VANGI TOMMASINI IL PIRATA,3°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
GAGGIOLI LUCIANO WILLIAM,TEAM VANGI TOMMASINI IL PIRATA,4°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
CAROSI  VINCENZO,TEAM CORATTI,5°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
ZAGO GABRIELE,IND. FORNITURE MORO-C&G CAPITAL,6°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
FRONTINI LUCA,POOL CANTU' GB TEAM A.S.D.,7°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
DANDREA CRISTIAN,TEAM TIEPOLO U19 DEVO,8°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
CASCIONE RAFFAELE,TEAM VANGI TOMMASINI IL PIRATA,9°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
CHINELLATO MATTIA,TRIS STAMPI FIOR DI GRANO,10°,CERBAIA DI LAMPORECCHIO (PT),2026-03-01
Corridore,Squadra,Pos.,RIZZA (VR),2026-03-01
VENDRAMIN  JACOPO,IND. FORNITURE MORO-C&G CAPITAL,1°,RIZZA (VR),2026-03-01
CAPUZZO MARCO,IND. FORNITURE MORO-C&G CAPITAL,2°,RIZZA (VR),2026-03-01
CECCARELLO LORENZO,A.S.D. CICLISTICA MONSELICE,3°,RIZZA (VR),2026-03-01
CORNELLA DANIEL,FDB SPORT CLUB,4°,RIZZA (VR),2026-03-01
SCARPIELLO ANDREA,TEAM TIEPOLO U19 DEVO,5°,RIZZA (VR),2026-03-01
VIERO GUIDO,NORDEST PETRUCCI ASSALI STEFEN,6°,RIZZA (VR),2026-03-01
PITTA JACOPO,TEAM TIEPOLO U19 DEVO,7°,RIZZA (VR),2026-03-01
PERJU ROSTISLAV,FAIZANE' CSZ SANDRIGO BIKE,8°,RIZZA (VR),2026-03-01
PODO MASSIMO,LIBERTAS CERESETTO,9°,RIZZA (VR),2026-03-01
MARTINELLO SAMUELE,A.S.D. POSTUMIA 73 D.L. CICLISMO,10°,RIZZA (VR),2026-03-01
